"BrowseList_medicine__bz_e7","BrowseList_medicine__bz_e7 href"
"DUPHALAC LEMON FLAVOUR BOTTLE OF 250ML SOLUTION","https://pharmeasy.in/online-medicine-order/duphalac-lemon-flavour-solution-250ml-206732"
"Dutas 0.5mg Strip Of 30 Capsules","https://pharmeasy.in/online-medicine-order/dutas-0-5mg-strip-of-30-capsules-8439"
"DUTAS T PLUS STRIP OF 15 CAPSULES","https://pharmeasy.in/online-medicine-order/dutas-t-plus-capsule-15-s-222515"
"DV 60K STRIP OF 4 CAPSULES","https://pharmeasy.in/online-medicine-order/dv-60k-strip-of-4-capsules-13143"
"DYDROBOON STRIP OF 10 TABLETS","https://pharmeasy.in/online-medicine-order/dydroboon-tablet-10-s-233408"
"DYFIRA 240MG BOTTLE OF 60 CAPSULES","https://pharmeasy.in/online-medicine-order/dyfira-240mg-bottle-of-60-capsules-220901"
"Dynaglipt M Strip Of 10 Tablets","https://pharmeasy.in/online-medicine-order/dynaglipt-m-strip-of-10-tablets-18099"
"Dynaglipt Strip Of 10 Tablets","https://pharmeasy.in/online-medicine-order/dynaglipt-strip-of-10-tablets-18574"
"Dynaglipt M Forte Strip Of 10 Tablets","https://pharmeasy.in/online-medicine-order/dynaglipt-m-forte-strip-of-10-tablets-18627"
"Dytor Plus 10mg Strip Of 15 Tablets","https://pharmeasy.in/online-medicine-order/dytor-plus-10mg-strip-of-15-tablets-6771"
"Dytor 5mg Strip Of 15 Tablets","https://pharmeasy.in/online-medicine-order/dytor-5mg-strip-of-15-tablets-6828"
"Dytor 20mg Strip Of 15 Tablets","https://pharmeasy.in/online-medicine-order/dytor-20mg-strip-of-15-tablets-6846"
"DYTOR 100MG STRIP OF 10 TABLETS","https://pharmeasy.in/online-medicine-order/dytor-100mg-tablet-44856"
"Dytor 10mg Strip Of 15 Tablets","https://pharmeasy.in/online-medicine-order/dytor-10mg-strip-of-15-tablets-44859"
"DYTOR 40MG STRIP OF 10 TABLETS","https://pharmeasy.in/online-medicine-order/dytor-40mg-tablet-44862"
"DYTOR PLUS 5MG STRIP OF 15 TABLETS","https://pharmeasy.in/online-medicine-order/dytor-plus-5mg-tab-15-s-206392"
"D 10 TUBE OF 15GM GEL","https://pharmeasy.in/online-medicine-order/d-10-gel-15gm-225883"
"D 10 (INFUTEC) 500 ML","https://pharmeasy.in/online-medicine-order/d-10-infutec-500-ml-3048943"
"D 10% Iv 500ml","https://pharmeasy.in/online-medicine-order/d-10-iv-500ml-210674"
"D 2 Classy 375mg Tab","https://pharmeasy.in/online-medicine-order/d-2-classy-375mg-tab-117508"
"D 2 Classy 625mg Tab","https://pharmeasy.in/online-medicine-order/d-2-classy-625mg-tab-117510"
"D 2 CLASSY DRY SYRUP 30ML","https://pharmeasy.in/online-medicine-order/d-2-classy-dry-syp-117512"
"D 25 Iv 100ml","https://pharmeasy.in/online-medicine-order/d-25-iv-100ml-174357"
"D 3 10000iu Spray 6ml","https://pharmeasy.in/online-medicine-order/d-3-10000iu-spray-6ml-1875"
"D 3 Fit Tab 4'S","https://pharmeasy.in/online-medicine-order/d-3-fit-tab-4-s-207369"
"D 360 SACHET OF 1GM GRANULES","https://pharmeasy.in/online-medicine-order/d-360-granules-1gm-9070"
"D 360 STRIP OF 4 SOFTGEL CAPSULES","https://pharmeasy.in/online-medicine-order/d-360-60000iu-capsule-9075"
"D 360 BOTTLE OF 30ML SYRUP","https://pharmeasy.in/online-medicine-order/d-360-syp-9078"
"D 360 400 Iu Drops 30 Ml","https://pharmeasy.in/online-medicine-order/d-360-400-iu-drops-30-ml-201791"
"D 5 (INFUTEC) 500 ML","https://pharmeasy.in/online-medicine-order/d-5-infutec-500-ml-3048944"
"D 500CAL STRIP OF 10 TABLETS","https://pharmeasy.in/online-medicine-order/d-500mg-cal-tab-9773"
"D 8 Our 0.25mg Tab","https://pharmeasy.in/online-medicine-order/d-8-our-0-25mg-tab-117745"
"D 8 Our 0.5mg Tab","https://pharmeasy.in/online-medicine-order/d-8-our-0-5mg-tab-117746"
"D ACNE 1% TUBE OF 10GM GEL","https://pharmeasy.in/online-medicine-order/d-acne-1-tube-of-10gm-gel-11755"
"D ACNE I 10MG STRIP OF 10 CAPSULES","https://pharmeasy.in/online-medicine-order/d-acne-i-10mg-capsule-11895"
"D ACNE I 20MG STRIP OF 10 CAPSULES","https://pharmeasy.in/online-medicine-order/d-acne-i-20mg-capsule-11896"
